,Member_number,Recency,Frequency,Monetary,R,F,M,RFM_Segment,RFM_Score,RFM_Level
1038,2064,131,3,53.0,3,2,2,322,7,At-Risk/Occasional
3065,4149,285,4,52.8,1,3,2,132,6,At-Risk/Occasional
653,1669,133,1,52.74,3,1,2,312,6,At-Risk/Occasional
3847,4950,252,3,52.72,2,2,2,222,6,At-Risk/Occasional
2743,3815,106,4,52.6,3,3,2,332,8,At-Risk/Occasional
368,1378,79,2,52.5,3,1,2,312,6,At-Risk/Occasional
3398,4493,62,4,52.5,3,3,2,332,8,At-Risk/Occasional
2820,3897,129,5,52.5,3,4,2,342,9,Loyal Customers
2442,3513,123,2,52.5,3,1,2,312,6,At-Risk/Occasional
2187,3249,373,2,52.349999999999994,1,1,2,112,4,At-Risk/Occasional
2864,3941,415,1,52.34,1,1,2,112,4,At-Risk/Occasional
1285,2323,368,2,52.300000000000004,1,1,2,112,4,At-Risk/Occasional
1779,2833,138,1,52.3,3,1,2,312,6,At-Risk/Occasional
2343,3411,194,4,52.3,2,3,2,232,7,At-Risk/Occasional
1527,2576,370,2,52.3,1,1,2,112,4,At-Risk/Occasional
3032,4115,222,4,52.22,2,3,2,232,7,At-Risk/Occasional
2312,3378,351,4,52.2,1,3,2,132,6,At-Risk/Occasional
1777,2831,358,4,52.2,1,3,2,132,6,At-Risk/Occasional
2321,3387,234,3,52.120000000000005,2,2,2,222,6,At-Risk/Occasional
1717,2768,363,2,52.1,1,1,2,112,4,At-Risk/Occasional
3184,4271,376,2,52.04,1,1,2,112,4,At-Risk/Occasional
97,1101,367,3,52.0,1,2,2,122,5,At-Risk/Occasional
244,1253,193,2,51.940000000000005,2,1,2,212,5,At-Risk/Occasional
1355,2397,87,2,51.94,3,1,2,312,6,At-Risk/Occasional
2191,3253,193,2,51.900000000000006,2,1,2,212,5,At-Risk/Occasional
1081,2109,63,4,51.9,3,3,2,332,8,At-Risk/Occasional
474,1485,171,2,51.9,2,1,2,212,5,At-Risk/Occasional
1836,2890,248,2,51.86,2,1,2,212,5,At-Risk/Occasional
3755,4856,346,3,51.85,1,2,2,122,5,At-Risk/Occasional
982,2007,37,2,51.85,4,1,2,412,7,Active Customers
3210,4298,158,3,51.85,2,2,2,222,6,At-Risk/Occasional
179,1186,248,4,51.83,2,3,2,232,7,At-Risk/Occasional
2891,3969,300,2,51.8,1,1,2,112,4,At-Risk/Occasional
533,1546,361,3,51.8,1,2,2,122,5,At-Risk/Occasional
971,1996,234,4,51.75,2,3,2,232,7,At-Risk/Occasional
3767,4868,242,5,51.7,2,4,2,242,8,Loyal Customers
45,1047,143,3,51.60000000000001,2,2,2,222,6,At-Risk/Occasional
1393,2438,313,2,51.6,1,1,2,112,4,At-Risk/Occasional
3371,4465,366,2,51.6,1,1,2,112,4,At-Risk/Occasional
1348,2390,131,5,51.56,3,4,2,342,9,Loyal Customers
2457,3528,134,3,51.55,3,2,2,322,7,At-Risk/Occasional
3120,4205,311,2,51.5,1,1,2,112,4,At-Risk/Occasional
1306,2345,13,4,51.5,4,3,2,432,9,Active Customers
3303,4393,36,2,51.4,4,1,2,412,7,Active Customers
308,1318,95,2,51.300000000000004,3,1,2,312,6,At-Risk/Occasional
2787,3860,239,2,51.27,2,1,2,212,5,At-Risk/Occasional
2338,3406,68,3,51.2,3,2,2,322,7,At-Risk/Occasional
884,1907,164,2,51.2,2,1,2,212,5,At-Risk/Occasional
2423,3493,331,4,51.1,1,3,2,132,6,At-Risk/Occasional
3260,4349,291,4,51.1,1,3,2,132,6,At-Risk/Occasional
859,1881,76,5,51.05,3,4,2,342,9,Loyal Customers
2136,3198,190,2,51.00000000000001,2,1,2,212,5,At-Risk/Occasional
847,1869,228,4,51.0,2,3,2,232,7,At-Risk/Occasional
2591,3662,27,4,51.0,4,3,2,432,9,Active Customers
2096,3156,150,3,51.0,2,2,2,222,6,At-Risk/Occasional
2901,3979,105,2,50.99999999999999,3,1,2,312,6,At-Risk/Occasional
74,1077,109,6,50.900000000000006,3,4,2,342,9,Loyal Customers
249,1258,508,2,50.900000000000006,1,1,2,112,4,At-Risk/Occasional
791,1813,394,1,50.9,1,1,2,112,4,At-Risk/Occasional
2426,3496,99,4,50.9,3,3,2,332,8,At-Risk/Occasional
685,1705,79,4,50.85,3,3,2,332,8,At-Risk/Occasional
3653,4751,41,3,50.800000000000004,4,2,2,422,8,Active Customers
2358,3426,66,4,50.800000000000004,3,3,2,332,8,At-Risk/Occasional
3721,4822,179,6,50.800000000000004,2,4,2,242,8,Loyal Customers
1350,2392,15,2,50.800000000000004,4,1,2,412,7,Active Customers
739,1760,341,3,50.8,1,2,2,122,5,At-Risk/Occasional
3810,4911,357,3,50.75,1,2,2,122,5,At-Risk/Occasional
1314,2353,242,4,50.7,2,3,2,232,7,At-Risk/Occasional
1745,2797,109,2,50.7,3,1,2,312,6,At-Risk/Occasional
69,1072,68,2,50.699999999999996,3,1,2,312,6,At-Risk/Occasional
2173,3235,2,3,50.6,4,2,2,422,8,Active Customers
423,1433,464,1,50.6,1,1,2,112,4,At-Risk/Occasional
3757,4858,318,3,50.599999999999994,1,2,2,122,5,At-Risk/Occasional
2530,3601,10,4,50.5,4,3,2,432,9,Active Customers
2605,3676,67,2,50.489999999999995,3,1,2,312,6,At-Risk/Occasional
3125,4210,145,2,50.44,2,1,2,212,5,At-Risk/Occasional
2514,3585,162,2,50.4,2,1,2,212,5,At-Risk/Occasional
1677,2728,32,2,50.4,4,1,2,412,7,Active Customers
3216,4304,319,3,50.36,1,2,2,122,5,At-Risk/Occasional
2603,3674,139,4,50.34,3,3,2,332,8,At-Risk/Occasional
1760,2812,387,2,50.3,1,1,2,112,4,At-Risk/Occasional
3056,4140,678,3,50.2,1,2,2,122,5,At-Risk/Occasional
2204,3267,346,4,50.2,1,3,2,132,6,At-Risk/Occasional
3088,4172,83,3,50.15,3,2,2,322,7,At-Risk/Occasional
411,1421,145,4,50.120000000000005,2,3,2,232,7,At-Risk/Occasional
2345,3413,98,5,50.1,3,4,2,342,9,Loyal Customers
3003,4085,92,4,50.1,3,3,2,332,8,At-Risk/Occasional
2623,3694,13,5,50.099999999999994,4,4,2,442,10,Loyal Customers
711,1732,215,3,50.0,2,2,2,222,6,At-Risk/Occasional
2809,3886,42,3,50.0,4,2,2,422,8,Active Customers
75,1078,63,2,50.0,3,1,2,312,6,At-Risk/Occasional
3243,4331,111,3,50.0,3,2,2,322,7,At-Risk/Occasional
3265,4355,39,4,50.0,4,3,2,432,9,Active Customers
2657,3729,31,2,49.940000000000005,4,1,2,412,7,Active Customers
2197,3259,119,4,49.92,3,3,2,332,8,At-Risk/Occasional
3507,4605,68,3,49.9,3,2,2,322,7,At-Risk/Occasional
3178,4265,18,5,49.9,4,4,2,442,10,Loyal Customers
1691,2742,81,3,49.849999999999994,3,2,2,322,7,At-Risk/Occasional
957,1980,76,5,49.83000000000001,3,4,2,342,9,Loyal Customers
790,1812,77,1,49.800000000000004,3,1,2,312,6,At-Risk/Occasional
1784,2838,50,3,49.8,4,2,2,422,8,Active Customers
518,1529,196,3,49.7,2,2,2,222,6,At-Risk/Occasional
1405,2450,152,3,49.699999999999996,2,2,2,222,6,At-Risk/Occasional
306,1316,279,3,49.6,2,2,2,222,6,At-Risk/Occasional
912,1935,489,4,49.6,1,3,2,132,6,At-Risk/Occasional
2839,3916,87,3,49.5,3,2,2,322,7,At-Risk/Occasional
3322,4413,80,3,49.5,3,2,2,322,7,At-Risk/Occasional
424,1434,397,3,49.5,1,2,2,122,5,At-Risk/Occasional
725,1746,77,5,49.5,3,4,2,342,9,Loyal Customers
2654,3726,218,2,49.5,2,1,2,212,5,At-Risk/Occasional
2735,3807,65,2,49.5,3,1,2,312,6,At-Risk/Occasional
413,1423,443,2,49.46,1,1,2,112,4,At-Risk/Occasional
2147,3209,2,5,49.400000000000006,4,4,2,442,10,Loyal Customers
984,2009,80,3,49.400000000000006,3,2,2,322,7,At-Risk/Occasional
1928,2984,309,4,49.400000000000006,1,3,2,132,6,At-Risk/Occasional
3501,4599,616,2,49.4,1,1,2,112,4,At-Risk/Occasional
2756,3828,198,4,49.4,2,3,2,232,7,At-Risk/Occasional
2201,3264,269,5,49.35,2,4,2,242,8,Loyal Customers
1475,2522,509,3,49.300000000000004,1,2,2,122,5,At-Risk/Occasional
1113,2143,158,3,49.3,2,2,2,222,6,At-Risk/Occasional
1545,2594,223,4,49.3,2,3,2,232,7,At-Risk/Occasional
3254,4342,287,5,49.3,1,4,2,142,7,Loyal Customers
491,1502,60,2,49.3,3,1,2,312,6,At-Risk/Occasional
1773,2827,60,2,49.22,3,1,2,312,6,At-Risk/Occasional
1631,2682,29,5,49.2,4,4,2,442,10,Loyal Customers
